Customer ID,Order ID,Product ID,Order Date,Ship Date,Ship Mode,Sales,Quantity,Discount,State,Postal Code,Profit,City Type,Region,Country,Year,Outlet Type,Sales Date
CUST000001,ORD000001,PROD000001,4/13/2020,4/18/2020,Same Day,3344.69,3,0.09,West Bengal,700001,448.24,Tier 1,East,India,2023,Large,3/11/2023
CUST000002,ORD000002,PROD000002,1/8/2021,1/11/2021,Standard Class,37094.41,5,0.39,Punjab,160001,3134.34,Tier 2,East,India,2022,Medium,9/9/2023
CUST000003,ORD000003,PROD000003,8/11/2020,8/16/2020,Second Class,35501.08,6,0.07,Gujarat,380001,8324.21,Village,South,India,2023,Large,8/15/2022
CUST000004,ORD000004,PROD000004,10/10/2021,10/16/2021,First Class,8969.33,4,0.18,West Bengal,700001,1962.66,Village,East,India,2021,Medium,1/23/2021
CUST000005,ORD000005,PROD000005,1/22/2019,1/25/2019,Standard Class,35530.44,4,0.27,Delhi,110001,2843.93,Village,West,India,2021,Small,12/24/2020
CUST000006,ORD000006,PROD000006,12/18/2019,12/22/2019,Second Class,420.76,4,0.5,Tamil Nadu,600001,57.36,Tier 2,South,India,2019,Large,3/13/2019
CUST000007,ORD000007,PROD000007,12/21/2020,12/23/2020,Standard Class,31588.07,6,0.38,Gujarat,380001,2834.07,Tier 2,North,India,2022,Medium,11/23/2022
CUST000008,ORD000008,PROD000008,11/12/2021,11/14/2021,Standard Class,4419.87,10,0.21,Rajasthan,302001,691.42,Tier 2,West,India,2021,Small,3/11/2019
CUST000009,ORD000009,PROD000009,3/9/2021,3/10/2021,First Class,41494.09,2,0.09,West Bengal,700001,8083.35,Tier 2,South,India,2023,Large,6/14/2020
CUST000010,ORD000010,PROD000010,3/15/2022,3/20/2022,Same Day,39717.64,3,0.27,Gujarat,380001,4849.97,Tier 1,South,India,2022,Medium,9/30/2022
CUST000011,ORD000011,PROD000011,3/21/2021,3/28/2021,Second Class,42842.38,2,0.15,Uttar Pradesh,226001,6385.44,Village,West,India,2019,Medium,10/25/2021
CUST000012,ORD000012,PROD000012,7/19/2021,7/21/2021,Standard Class,1036.8,10,0.32,Madhya Pradesh,462001,157.6,Village,North,India,2022,Small,6/8/2023
CUST000013,ORD000013,PROD000013,7/30/2022,8/3/2022,Standard Class,39274.36,7,0.3,Punjab,160001,6536.93,Village,West,India,2023,Small,10/1/2021
CUST000014,ORD000014,PROD000014,2/9/2019,2/16/2019,Standard Class,31690.81,5,0.1,Karnataka,560001,3772.86,Tier 2,West,India,2023,Small,1/10/2023
CUST000015,ORD000015,PROD000015,5/9/2023,5/12/2023,Same Day,40712.36,9,0.26,Rajasthan,302001,6108.43,Village,West,India,2022,Large,5/6/2019
CUST000016,ORD000016,PROD000016,11/11/2022,11/17/2022,Second Class,34269.7,1,0.35,West Bengal,700001,4144.5,Village,North,India,2019,Small,5/26/2021
CUST000017,ORD000017,PROD000017,2/28/2023,3/5/2023,Standard Class,41271.24,8,0.4,Maharashtra,400001,5106.34,Tier 1,South,India,2020,Large,9/18/2021
CUST000018,ORD000018,PROD000018,3/3/2022,3/6/2022,Second Class,3896.21,6,0.23,Uttar Pradesh,226001,868.88,Tier 1,North,India,2020,Small,9/6/2023
CUST000019,ORD000019,PROD000019,1/1/2020,1/5/2020,Standard Class,15902.47,2,0.24,Uttar Pradesh,226001,2192.64,Tier 1,North,India,2023,Small,8/24/2019
CUST000020,ORD000020,PROD000020,6/17/2019,6/23/2019,Second Class,14846.9,8,0.27,West Bengal,700001,2578.04,Tier 1,North,India,2022,Small,2/27/2023
CUST000021,ORD000021,PROD000021,8/26/2020,8/30/2020,Second Class,756.96,6,0.5,Punjab,160001,61.95,Tier 2,East,India,2022,Large,4/12/2021
CUST000022,ORD000022,PROD000022,11/4/2019,11/11/2019,First Class,9172.02,1,0.07,Rajasthan,302001,2279.66,Tier 1,North,India,2023,Medium,12/11/2020
CUST000023,ORD000023,PROD000023,12/3/2023,12/6/2023,Standard Class,34292.47,3,0.03,Punjab,160001,9599.41,Tier 2,South,India,2023,Medium,6/3/2021
CUST000024,ORD000024,PROD000024,4/15/2021,4/22/2021,Second Class,35973.08,5,0.47,Rajasthan,302001,5195.63,Village,East,India,2021,Medium,9/26/2021
CUST000025,ORD000025,PROD000025,2/7/2023,2/12/2023,First Class,44383.63,6,0.43,Karnataka,560001,3482.54,Tier 2,North,India,2023,Large,10/1/2022
CUST000026,ORD000026,PROD000026,4/27/2019,5/1/2019,First Class,4404.37,3,0.47,Punjab,160001,397.14,Tier 2,East,India,2019,Large,12/19/2021
CUST000027,ORD000027,PROD000027,12/20/2021,12/24/2021,Standard Class,34934.14,9,0.46,Uttar Pradesh,226001,4657.61,Village,East,India,2020,Medium,12/31/2019
CUST000028,ORD000028,PROD000028,4/6/2019,4/13/2019,Same Day,2361.71,5,0.38,Madhya Pradesh,462001,373.96,Tier 1,North,India,2020,Medium,11/5/2021
CUST000029,ORD000029,PROD000029,2/20/2022,2/25/2022,Same Day,24468.77,9,0.3,Punjab,160001,3914.79,Tier 2,South,India,2021,Small,1/26/2019
CUST000030,ORD000030,PROD000030,5/20/2019,5/27/2019,Same Day,16716.48,2,0.39,Punjab,160001,1748.93,Village,North,India,2019,Small,12/25/2021
CUST000031,ORD000031,PROD000031,3/5/2019,3/10/2019,Same Day,6167.65,3,0.29,Delhi,110001,583.15,Tier 2,South,India,2020,Medium,5/13/2022
CUST000032,ORD000032,PROD000032,5/25/2023,5/28/2023,First Class,44969.55,2,0.11,Maharashtra,400001,9788.65,Tier 1,South,India,2021,Large,9/27/2022
CUST000033,ORD000033,PROD000033,12/10/2023,12/11/2023,Same Day,38388.24,2,0.14,Rajasthan,302001,3832.45,Village,South,India,2022,Medium,5/28/2020
CUST000034,ORD000034,PROD000034,7/28/2023,8/2/2023,First Class,4999.82,8,0.36,Gujarat,380001,867.85,Tier 1,West,India,2022,Medium,1/13/2023
CUST000035,ORD000035,PROD000035,1/27/2023,1/30/2023,Standard Class,32193.01,7,0.08,Gujarat,380001,4603.52,Tier 2,West,India,2022,Large,3/28/2019
CUST000036,ORD000036,PROD000036,9/2/2023,9/3/2023,Second Class,33453.57,8,0.43,Gujarat,380001,5456.87,Village,North,India,2023,Small,10/10/2022
CUST000037,ORD000037,PROD000037,12/9/2019,12/10/2019,Second Class,41830.92,5,0.22,Karnataka,560001,5209.41,Tier 1,South,India,2022,Large,12/19/2019
CUST000038,ORD000038,PROD000038,12/20/2021,12/26/2021,Second Class,31602.21,3,0.49,Karnataka,560001,2620.14,Village,South,India,2019,Medium,12/28/2023
CUST000039,ORD000039,PROD000039,2/25/2021,2/27/2021,Standard Class,7903.34,3,0.06,Uttar Pradesh,226001,1187.42,Tier 1,North,India,2019,Medium,4/21/2023
CUST000040,ORD000040,PROD000040,9/23/2021,9/29/2021,First Class,23667.32,2,0.07,Gujarat,380001,3631.17,Village,South,India,2021,Large,5/19/2020
CUST000041,ORD000041,PROD000041,2/9/2023,2/15/2023,Same Day,39762.15,10,0.03,Punjab,160001,6437.84,Tier 2,North,India,2023,Large,4/17/2022
CUST000042,ORD000042,PROD000042,3/21/2019,3/22/2019,Second Class,10843.03,7,0.08,Punjab,160001,2550.74,Tier 1,North,India,2021,Medium,5/17/2019
CUST000043,ORD000043,PROD000043,7/15/2022,7/20/2022,Standard Class,35014.14,8,0.19,Delhi,110001,6929.86,Tier 1,South,India,2021,Small,12/14/2022
CUST000044,ORD000044,PROD000044,10/21/2021,10/27/2021,First Class,49912.22,3,0,Karnataka,560001,7076.5,Tier 2,North,India,2020,Medium,8/18/2019
CUST000045,ORD000045,PROD000045,11/25/2021,11/27/2021,First Class,11595.62,6,0.02,Tamil Nadu,600001,1819.63,Tier 2,East,India,2023,Small,10/31/2020
CUST000046,ORD000046,PROD000046,8/16/2023,8/23/2023,First Class,40938.72,7,0.32,Karnataka,560001,4902.81,Village,North,India,2019,Medium,7/5/2019
CUST000047,ORD000047,PROD000047,11/25/2019,11/27/2019,Standard Class,43356.81,10,0.14,Rajasthan,302001,6415,Tier 2,West,India,2023,Small,6/10/2021
CUST000048,ORD000048,PROD000048,2/12/2020,2/18/2020,Same Day,37449.42,1,0.4,West Bengal,700001,5330.17,Village,East,India,2019,Small,5/29/2023
CUST000049,ORD000049,PROD000049,7/7/2021,7/12/2021,First Class,378.65,6,0.44,West Bengal,700001,30.32,Village,North,India,2022,Large,12/9/2022
CUST000050,ORD000050,PROD000050,1/20/2020,1/23/2020,Standard Class,4596.06,1,0.09,Karnataka,560001,566.91,Village,West,India,2021,Small,9/18/2019
CUST000051,ORD000051,PROD000051,5/20/2020,5/23/2020,Second Class,15945.03,9,0.41,Rajasthan,302001,2139.78,Tier 1,East,India,2019,Large,6/3/2023
CUST000052,ORD000052,PROD000052,2/14/2020,2/20/2020,Same Day,45056.72,5,0.25,Uttar Pradesh,226001,4495.91,Village,East,India,2021,Small,2/26/2022
CUST000053,ORD000053,PROD000053,3/13/2019,3/15/2019,Standard Class,14187.47,8,0.17,Rajasthan,302001,3102.02,Tier 2,East,India,2023,Small,1/15/2021
CUST000054,ORD000054,PROD000054,6/20/2023,6/23/2023,Standard Class,3119.4,9,0.1,Rajasthan,302001,399.27,Tier 2,West,India,2019,Large,1/10/2022
CUST000055,ORD000055,PROD000055,10/7/2020,10/8/2020,Standard Class,5552.12,1,0.17,Rajasthan,302001,601.64,Tier 1,West,India,2022,Large,3/16/2019
CUST000056,ORD000056,PROD000056,3/22/2022,3/28/2022,Same Day,46089.88,3,0.32,Karnataka,560001,3186.9,Village,East,India,2022,Small,4/8/2023
CUST000057,ORD000057,PROD000057,11/9/2021,11/12/2021,Same Day,41202.61,3,0.38,Karnataka,560001,3039.9,Tier 2,South,India,2022,Medium,8/13/2021
CUST000058,ORD000058,PROD000058,6/26/2019,6/30/2019,Standard Class,35606.55,4,0.42,Punjab,160001,3162.47,Village,East,India,2019,Small,12/28/2019
CUST000059,ORD000059,PROD000059,5/4/2021,5/10/2021,First Class,25717.31,7,0.08,West Bengal,700001,4469.55,Village,North,India,2020,Large,11/29/2021
CUST000060,ORD000060,PROD000060,8/6/2020,8/8/2020,First Class,18052.48,2,0.35,Gujarat,380001,1386.25,Tier 2,North,India,2022,Medium,10/17/2023
CUST000061,ORD000061,PROD000061,8/1/2019,8/2/2019,Second Class,24074.86,1,0.14,West Bengal,700001,4149.35,Tier 1,North,India,2023,Large,8/17/2020
CUST000062,ORD000062,PROD000062,5/12/2020,5/19/2020,Same Day,17103.72,10,0.35,Gujarat,380001,1522.18,Tier 1,East,India,2021,Large,2/17/2023
CUST000063,ORD000063,PROD000063,7/15/2023,7/17/2023,Standard Class,33223,2,0.47,West Bengal,700001,4928.08,Tier 1,South,India,2021,Large,1/7/2022
CUST000064,ORD000064,PROD000064,6/9/2020,6/13/2020,First Class,5549.65,3,0.29,Madhya Pradesh,462001,563.06,Village,South,India,2021,Large,11/25/2023
